FOOTPRINT,MFGR,PART,QUANTITY,REF,VALUE,VENDOR,VENDORPART
CUI:MJ-2509N,CUI,MJ-2509N,1,J3,MOTOR CTL RELAY JACK,Digikey,CP-M2509N-ND
Capacitors_SMD:C_0805,Kemet,C0805C104K9RACTU,2,C10 C12,0.1uF,Digikey,399-9155-1-ND
Capacitors_SMD:C_0805,Samsung,CL21A106KAFN3NE,2,C11 C9,10uf,Digikey,1276-2890-1-ND
Capacitors_SMD:C_0805,Samsung,CL21B102KECSFNC,1,C7,1000pf,Digikey,1276-2431-1-ND
Capacitors_SMD:C_0805,Samsung,CL21C101JBANNNC,1,C5,100pf,Digikey,1276-1014-1-ND
Capacitors_SMD:C_1206,TDK,C3216JB1E336M160AC,1,C8,33uf,Digikey,445-11710-1-ND
Capacitors_ThroughHole:CP_Radial_D8.0mm_P3.50mm,Panasonic,ECA-1VM221,1,C4,220uf,Digikey,P5166-ND
Capacitors_ThroughHole:C_Disc_D6.0mm_W4.4mm_P5.00mm,Murata,RDER72E105MUB1H03B,2,C1 C2,1uf,Digikey,490-8911-ND
DC-DC:IE0524S,XP Power,IE0515S,1,U8,IE0515S,Digikey,1470-1405-5-ND
DC-DC:IE0524S,XP Power,IE0524S,1,U5,IE0524S,Digikey,1470-1407-5-ND
Dialite:564-0100,Dialight,5640100222F,1,D13,LED_3,Digikey,350-1752-ND
Diodes_SMD:D_SMB,Vishay,MURS140-E3/5BT,1,D1,D,Digikey,MURS140-E3/5BTGICT-ND
Diodes_SMD:D_SOD-123,Micro Commercial,MMSZ4678-TP,1,D2,1.8V,Digikey,MMSZ4678-TPMSCT-ND
Diodes_SMD:SMA_Standard,On,S1G,1,D6,D,Digikey,S1GFSCT-ND
Diodes_SMD:SMB_Standard,Micro Commercial,SMBJ5380B-TP,2,D10 D11,120V,Digikey,SMBJ5380B-TPMSCT-ND
NKK:BB15AH-FA,NKK,BB15AH-FA,1,SW2,Button_SPDT,Digikey,360-3265-ND
NKK:Toggle-M2012SA2W40,NKK,M2012SA2W40,1,SW1,Switch_SPDT,Digikey,360-2837-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8BWFR091V,1,R3,91m,Digikey,P.091AUCT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8ENF22R1V,1,R5,22,Digikey,P22.1FCT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8ENF2322V,1,R4,23K,Digikey,P23.2KFCT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8ENF2491V,1,R7,2.49K,Digikey,P2.49KFCT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8ENF5362V,1,R16,53.6K,Digikey,P53.6KFCT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8ENF5600V,1,R17,560,Digikey,P560FCT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8GEYJ100V,1,R1,10,Digikey,P10ECT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8GEYJ102V,1,R9,1K,Digikey,P1.0KECT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8GEYJ104V,1,R2,100K,Digikey,P100KECT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8GEYJ105V,1,R14,1M,Digikey,P1.0MECT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8GEYJ332V,1,R13,3.3K,Digikey,P3.3KECT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8GEYJ391V,3,R10 R11 R12,390,Digikey,P390ECT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8GEYJ433V,1,R6,43K,Digikey,P43KECT-ND
Resistors_SMD:R_1206,Panasonic,ERJ-8GEYJ561V,1,R15,560,Digikey,P560ECT-ND
SMD_Misc:DIP-6_SMD,Ixys,CPC1510GST,1,U7,CPC1510G,Digikey,CLA272CT-ND
SMD_Misc:DIP-6_SMD,Ixys,CPC1510GSTR,2,U4 U6,CPC1510G,Digikey,CLA272CT-ND
SMD_Misc:LT3750,Linear Technology,LT3750EMS#PBF,1,U1,LT3750,Digikey,LT3750EMS#PBF-ND
SMD_Misc:Samsung-Inductor-1008,Murata,LQH2HPZ6R8MJRL,1,L1,6.8uH,Digikey,490-15905-1-ND
SMD_Misc:Samsung-Inductor-1008,Samsung,CIG22E1R0MNE,1,L2,1uH,Digikey,1276-6207-1-ND
Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,Molex,,1,P1,CONN_01X02,Digikey,WM10153-ND
Switchcraft:Switchcraft-SN37A12A,Switchcraft,SN37A12A,1,J1,PRINTER JACK,Digikey,SC2014-ND
Switchcraft:Switchcraft-SN37A12A,Switchcraft,SN37A12A,1,J2,KEYBOARD JACK,Digikey,SC2014-ND
TO_SOT_Packages_SMD:SOT-23-6,Diodes,AP2553W6-7,1,U2,AP2553W6,Digikey,AP2553W6-7DICT-ND
TO_SOT_Packages_SMD:SOT-353_SC-70-5,Nexperia,74HC1GU04GW 125,1,U9,74HC1GU04,Digikey,1727-6043-1-ND
TO_SOT_Packages_SMD:TO-252-3_TabPin2,Microchip,DN2625K4-G,1,Q2,DN2625,Digikey,DN2625K4-GCT-ND
TO_SOT_Packages_SMD:TO-263-3_TabPin2,IRL,IRL530NSTRLPBF,1,Q1,IRL530NS,Digikey,IRL530NSTRLPBFCT-ND
